,,,,,,,Community Name,,,,,Zip Code,,,,,,ano|mes|dia,,subsidiary company,,,,,
FILE,post_title,post_author,post_status,CF: activity,CF: calculate_profit_,CF: job_location_city,CF: job_location_community,CF: job_location_country,CF: job_location_jobsite_address,CF: job_location_lot_number,CF: job_location_state,CF: job_location_state_zip,CF: job_type,CF: trade,RF: labor,RF: labor_service,RF: labor_quantity,CF: order_date,CF: stake_holders_builder,CF: stake_holders_company,CF: stake_holders_ilg_field_manager,CF: stake_holders_sts_supervisor,CF: stake_holders_subcontractors,CF: wo_number,CF: IMG_URL
sts/img33.jpg,8349912,admin,publish,,calculate profit,CHARLOTTE,STARMOUNT COVE,USA,7111 THORNROSE DRIVE,1700,NC,28210,Repair,Wood,1,3448,1,20190906,Pulte Homes,STS Floors,Adam Mosher,Pedro Brito,-- Choose Subcontractor --,8349912,https://stshardwood.com/wp-content/uploads/2019/07/8349912.jpg
sts/img29.jpg,8349951,admin,publish,,calculate profit,FORT MILL,WATERSIDE GLEN,USA,290 ASCOT RUN WAY,997,SC,29715,Repair,Wood,1,5927,1,20190906,Lennar Homes,STS Floors,Adam Mosher,Pedro Brito,-- Choose Subcontractor --,8349951,https://stshardwood.com/wp-content/uploads/2019/07/8349951.jpg
ko/img3.jpg,8349953,admin,publish,,calculate profit,FORT MILL,WATERSIDE GLEN,USA,288 ASCOT RUN WAY,998,SC,29715,Repair,Wood,1,5927,1,20190906,Lennar Homes,KO Flooring,Adam Mosher,Pedro Brito,-- Choose Subcontractor --,8349953,https://stshardwood.com/wp-content/uploads/2019/07/8349953.jpg
sts/img28.jpg,8350006,admin,publish,,calculate profit,WESLEY CHAPEL,ELLINGTON DOWNS 70S,USA,4017 FERNBANK LANE,54,NC,28104,Repair,Wood,1,3448,1,20190906,Meritage Homes,STS Floors,Bobby Hawkins,Pedro Brito,-- Choose Subcontractor --,8350006,https://stshardwood.com/wp-content/uploads/2019/07/8350006.jpg
sts/img27.jpg,8350035,admin,publish,,calculate profit,FORT MILL,HABERSHAM 65,USA,125 HAMPTON TRAIL DRIVE,1000,SC,29708,Repair,Wood,1,3448,1,20190906,Pulte Homes,STS Floors,Stephan Gray,Pedro Brito,-- Choose Subcontractor --,8350035,https://stshardwood.com/wp-content/uploads/2019/07/8350035.jpg
sts/img30.jpg,8350072,admin,publish,,calculate profit,CHARLOTTE,CENTRAL POINT 12,USA,13014 TINTON AVENUE,9900,NC,28204,Repair,Wood,1,3448,1,20190906,Pulte Homes,STS Floors,Adam Mosher,Pedro Brito,-- Choose Subcontractor --,8350072,https://stshardwood.com/wp-content/uploads/2019/07/8350072.jpg
sts/img35.jpg,8350181,admin,publish,,calculate profit,CHARLOTTE,PALISADES MONTAGE CROSSING,USA,15122 CIMARRON HILLS LANE,141,NC,28278,Repair,Wood,1,3448,1,20190906,Lennar Homes,STS Floors,Mathis Barry,Pedro Brito,-- Choose Subcontractor --,8350181,https://stshardwood.com/wp-content/uploads/2019/07/8350181.jpg
ko/img0.jpg,9478677-3240,admin,publish,3240,calculate profit,ROCKHILL,AUGUSTA PLACE AT LAUREL CREEK,USA,125 ADELAIDE WAY,52C,SC,29732,Installation,Wood,1,3451,1010,20190906,New Style Communities,KO Flooring,Mathis Barry,Pedro Brito,-- Choose Subcontractor --,9478677,https://stshardwood.com/wp-content/uploads/2019/07/9478677-3240.jpg
sts/img0.jpg,9485463-3240,admin,publish,3240,calculate profit,MOORESIVELLE,ATWATER LAND RSRV 50,USA,153 LONGLEAF DR,229,NC,28117,Installation,Wood,1,3455,1182,20190906,DR Horton Charlotte,STS Floors,Abraham Mitch,Pedro Brito,-- Choose Subcontractor --,9485463,https://stshardwood.com/wp-content/uploads/2019/07/9485463-3240.jpg
sts/img8.jpg,9498195-3240,admin,publish,3240,calculate profit,LANCASTER,BENT CREEK,USA,1057 CHIPPENHAM AVENUE,2,SC,29720,Installation,Wood,1,3451,535,20190906,JONES HOMES USA,STS Floors,Cameron Wood,Pedro Brito,-- Choose Subcontractor --,9498195,https://stshardwood.com/wp-content/uploads/2019/07/9498195-3240.jpg
sts/img4.jpg,9503470-3240,admin,publish,3240,calculate profit,FORT MILL,MCCULLOUGH SC SF,USA,8908 GLADDEN HILL LN,4500,SC,29715,Installation,Wood,1,3455,1071,20190906,Pulte Homes,STS Floors,Stephan Gray,Pedro Brito,-- Choose Subcontractor --,9503470,https://stshardwood.com/wp-content/uploads/2019/07/9503470-3240.jpg
